Date,CPI,CPI_2021_Index
1988-12-01,120.7,2.3100579950289974
1989-01-01,121.2,2.3005280528052805
1989-02-01,121.6,2.2929605263157895
1989-03-01,122.2,2.2817021276595746
1989-04-01,123.1,2.2650203086921206
1989-05-01,123.7,2.2540339531123688
1989-06-01,124.1,2.246768734891217
1989-07-01,124.5,2.239550200803213
1989-08-01,124.5,2.239550200803213
1989-09-01,124.8,2.234166666666667
1989-10-01,125.4,2.2234768740031896
1989-11-01,125.9,2.2146465448768864
1989-12-01,126.3,2.20763262074426
1990-01-01,127.5,2.1868549019607846
1990-02-01,128.0,2.1783125
1990-03-01,128.6,2.168149300155521
1990-04-01,128.9,2.163103180760279
1990-05-01,129.1,2.159752130131681
1990-06-01,129.9,2.1464511162432642
1990-07-01,130.5,2.1365823754789273
1990-08-01,131.6,2.118723404255319
1990-09-01,132.5,2.104332075471698
1990-10-01,133.4,2.0901349325337333
1990-11-01,133.7,2.085445026178011
1990-12-01,134.2,2.077675111773473
1991-01-01,134.7,2.06996288047513
1991-02-01,134.8,2.068427299703264
1991-03-01,134.8,2.068427299703264
1991-04-01,135.1,2.0638341968911917
1991-05-01,135.6,2.056224188790561
1991-06-01,136.0,2.0501764705882355
1991-07-01,136.2,2.0471659324522764
1991-08-01,136.6,2.0411713030746705
1991-09-01,137.0,2.035211678832117
1991-10-01,137.2,2.032244897959184
1991-11-01,137.8,2.023396226415094
1991-12-01,138.2,2.01753979739508
1992-01-01,138.3,2.0160809833694864
1992-02-01,138.6,2.011717171717172
1992-03-01,139.1,2.0044859813084113
1992-04-01,139.4,2.0001721664275465
1992-05-01,139.7,1.9958768790264856
1992-06-01,140.1,1.9901784439685941
1992-07-01,140.5,1.9845124555160143
1992-08-01,140.8,1.9802840909090909
1992-09-01,141.1,1.9760737065910703
1992-10-01,141.7,1.9677064220183489
1992-11-01,142.1,1.9621674876847293
1992-12-01,142.3,1.9594096978215039
1993-01-01,142.8,1.952549019607843
1993-02-01,143.1,1.9484556254367578
